cliente_id,tipo_cliente,estado,superficie_m2,ocupantes,costo_energia_mxn
CLIENTE_0063,Comercial,Colima,45,3,369.66
CLIENTE_0064,Residencial,Tlaxcala,24,1,300.31
CLIENTE_0065,Residencial,Colima,17,3,274.66
CLIENTE_0066,Residencial,Sonora,45,2,210.63
CLIENTE_0067,Residencial,Guanajuato,45,4,473.97
CLIENTE_0068,Comercial,Tlaxcala,45,1,375.74
CLIENTE_0069,Residencial,Veracruz,45,4,399.04
CLIENTE_0070,Comercial,Chihuahua,52,3,292.11
CLIENTE_0071,Comercial,Michoacán,77,1,381.18
CLIENTE_0072,Residencial,Jalisco,52,1,276.56
CLIENTE_0073,Residencial,Aguascalientes,45,3,283.06
CLIENTE_0074,Comercial,Chihuahua,24,3,312.4
CLIENTE_0075,Comercial,San Luis Potosí,77,2,289.83
CLIENTE_0076,Comercial,Guanajuato,24,3,232.41
CLIENTE_0077,Comercial,Guanajuato,24,3,203.11
CLIENTE_0078,Residencial,Hidalgo,45,3,318.48
CLIENTE_0079,Residencial,Colima,17,1,379.16
CLIENTE_0080,Residencial,Michoacán,77,2,220.25
CLIENTE_0081,Comercial,Tamaulipas,45,1,240.65
CLIENTE_0082,Residencial,Chihuahua,45,3,271.74
CLIENTE_0083,Residencial,Tabasco,45,2,357.31
CLIENTE_0084,Residencial,Ciudad de México,45,3,252.05
CLIENTE_0085,Residencial,Puebla,17,1,371.6
CLIENTE_0086,Residencial,Jalisco,45,1,210.22
CLIENTE_0087,Comercial,Michoacán,45,3,383.12
CLIENTE_0088,Residencial,Coahuila,45,2,308.9
CLIENTE_0089,Comercial,Michoacán,45,1,328.05
CLIENTE_0090,Residencial,Nuevo León,24,3,271.24
CLIENTE_0091,Residencial,Chihuahua,24,3,352.11
CLIENTE_0092,Comercial,Tamaulipas,24,3,231.99
CLIENTE_0093,Comercial,Tabasco,24,2,209.04
CLIENTE_0094,Residencial,Chihuahua,52,3,276.68
CLIENTE_0095,Comercial,Coahuila,52,4,572.47
CLIENTE_0096,Residencial,Colima,24,3,346.83
CLIENTE_0097,Residencial,Campeche,45,4,502.4
CLIENTE_0098,Residencial,Puebla,45,1,311.14
CLIENTE_0099,Residencial,Michoacán,24,3,224.85
CLIENTE_0100,Residencial,Chihuahua,24,2,363.55
CLIENTE_0101,Residencial,Guanajuato,77,3,353.06
CLIENTE_0102,Residencial,Aguascalientes,45,4,531.39
CLIENTE_0103,Residencial,Aguascalientes,77,4,491.76
CLIENTE_0104,Residencial,Tlaxcala,24,2,387.68
CLIENTE_0105,Comercial,Morelos,45,4,577.75
CLIENTE_0106,Residencial,Coahuila,24,3,325.24
CLIENTE_0107,Residencial,Morelos,24,3,272.04
CLIENTE_0108,Comercial,Coahuila,45,3,320.11
CLIENTE_0109,Residencial,Michoacán,24,2,311.79
CLIENTE_0110,Residencial,Guerrero,24,1,276.41
CLIENTE_0111,Residencial,Guerrero,24,2,259.35
CLIENTE_0112,Residencial,Chiapas,17,1,278.92
CLIENTE_0113,Comercial,Colima,45,2,311.49
CLIENTE_0114,Comercial,Jalisco,45,3,283.02
CLIENTE_0115,Residencial,Ciudad de México,17,3,250.91
CLIENTE_0116,Comercial,Jalisco,24,1,348.0
CLIENTE_0117,Comercial,Guanajuato,17,1,303.2
CLIENTE_0118,Residencial,Guanajuato,45,4,408.77
CLIENTE_0119,Comercial,Colima,17,2,271.36
CLIENTE_0120,Residencial,Morelos,45,4,578.97
CLIENTE_0121,Comercial,Ciudad de México,17,2,346.86
CLIENTE_0122,Comercial,Zacatecas,24,1,262.58
CLIENTE_0123,Residencial,Coahuila,52,1,382.58
CLIENTE_0124,Residencial,Aguascalientes,45,2,214.43
CLIENTE_0125,Residencial,Zacatecas,17,1,387.07
CLIENTE_0126,Residencial,Aguascalientes,52,1,247.46
CLIENTE_0127,Comercial,Michoacán,45,1,201.29
CLIENTE_0128,Comercial,Morelos,52,1,284.16
CLIENTE_0129,Residencial,Ciudad de México,45,3,269.53
CLIENTE_0130,Residencial,Yucatán,45,4,506.96
CLIENTE_0131,Residencial,Aguascalientes,77,4,560.61
CLIENTE_0132,Residencial,Michoacán,24,3,363.89
CLIENTE_0133,Residencial,Sonora,45,1,277.78
CLIENTE_0134,Residencial,Nuevo León,45,4,484.2
CLIENTE_0135,Comercial,Veracruz,17,2,228.42
CLIENTE_0136,Residencial,Hidalgo,17,3,208.77
CLIENTE_0137,Residencial,Guanajuato,17,2,324.63
CLIENTE_0138,Comercial,Coahuila,45,2,212.08
CLIENTE_0139,Residencial,Jalisco,45,3,342.68
CLIENTE_0140,Comercial,Veracruz,45,4,506.96
CLIENTE_0141,Comercial,Aguascalientes,17,2,238.26
CLIENTE_0142,Residencial,Chihuahua,45,4,507.03
CLIENTE_0143,Residencial,Aguascalientes,77,2,235.22
CLIENTE_0144,Residencial,Jalisco,24,1,285.11
CLIENTE_0145,Residencial,Michoacán,45,1,355.53
CLIENTE_0146,Residencial,Chiapas,45,1,289.64
CLIENTE_0147,Residencial,Aguascalientes,45,3,228.53
CLIENTE_0148,Residencial,Quintana Roo,45,1,340.75
CLIENTE_0149,Residencial,Guanajuato,52,2,235.94
CLIENTE_0150,Residencial,Sonora,24,2,343.6
CLIENTE_0151,Comercial,Puebla,52,4,494.49
CLIENTE_0152,Residencial,Morelos,24,2,288.04
CLIENTE_0153,Residencial,San Luis Potosí,24,2,365.64
CLIENTE_0154,Residencial,Jalisco,17,2,337.78
CLIENTE_0155,Comercial,Aguascalientes,45,3,205.92
CLIENTE_0156,Residencial,Tlaxcala,45,2,257.3
CLIENTE_0157,Comercial,Hidalgo,24,3,369.44
CLIENTE_0158,Comercial,Jalisco,24,2,203.07
CLIENTE_0159,Residencial,Jalisco,77,4,508.25
CLIENTE_0160,Comercial,Tlaxcala,52,3,341.51
CLIENTE_0161,Residencial,Michoacán,45,3,320.83
CLIENTE_0162,Residencial,Chihuahua,45,2,347.89
CLIENTE_0163,Residencial,Ciudad de México,45,2,341.09
CLIENTE_0164,Residencial,Guanajuato,24,2,334.55
CLIENTE_0165,Residencial,Tamaulipas,77,2,359.82
CLIENTE_0166,Comercial,Oaxaca,17,1,325.51
CLIENTE_0167,Residencial,Ciudad de México,45,1,278.01
CLIENTE_0168,Residencial,Coahuila,24,3,291.57
CLIENTE_0169,Residencial,Ciudad de México,45,3,339.34
CLIENTE_0170,Residencial,Aguascalientes,45,4,577.18
CLIENTE_0171,Comercial,Guanajuato,45,4,451.36
CLIENTE_0172,Residencial,Guanajuato,17,1,266.27
CLIENTE_0173,Residencial,Coahuila,45,4,588.51
CLIENTE_0174,Residencial,Tamaulipas,24,3,312.4
CLIENTE_0175,Residencial,Guanajuato,24,2,234.42
CLIENTE_0176,Residencial,Tabasco,17,3,329.0
CLIENTE_0177,Comercial,Chiapas,45,3,392.84
CLIENTE_0178,Residencial,Tamaulipas,45,3,360.16
CLIENTE_0179,Comercial,Colima,45,1,345.0
CLIENTE_0180,Residencial,Guerrero,45,1,240.08
CLIENTE_0181,Residencial,Morelos,45,3,370.46
CLIENTE_0182,Residencial,Quintana Roo,45,2,302.1
CLIENTE_0183,Comercial,Sonora,24,3,373.05
CLIENTE_0184,Comercial,Zacatecas,24,1,263.87
CLIENTE_0185,Residencial,Michoacán,45,2,211.62
CLIENTE_0186,Comercial,Zacatecas,45,3,292.37
CLIENTE_0187,Comercial,Aguascalientes,52,1,252.17
CLIENTE_0188,Residencial,Hidalgo,52,2,339.07
CLIENTE_0189,Residencial,Oaxaca,24,3,386.27
CLIENTE_0190,Residencial,Puebla,17,1,334.32
CLIENTE_0191,Residencial,Puebla,45,2,372.55
CLIENTE_0192,Comercial,Jalisco,24,3,287.89
CLIENTE_0193,Comercial,Michoacán,17,2,350.06
CLIENTE_0194,Residencial,Oaxaca,52,2,364.0
CLIENTE_0195,Residencial,Morelos,24,2,338.2
CLIENTE_0196,Residencial,Aguascalientes,77,1,298.57
CLIENTE_0197,Comercial,Guanajuato,45,3,321.63
CLIENTE_0198,Comercial,Tamaulipas,45,4,540.55
CLIENTE_0199,Comercial,Puebla,24,2,248.9
CLIENTE_0200,Comercial,Ciudad de México,24,2,357.47
CLIENTE_0201,Residencial,Ciudad de México,45,2,384.94
CLIENTE_0202,Residencial,Oaxaca,24,1,290.28
CLIENTE_0203,Residencial,Guanajuato,24,2,336.3
CLIENTE_0204,Comercial,Jalisco,24,1,343.33
CLIENTE_0205,Residencial,Oaxaca,24,1,328.74
CLIENTE_0206,Residencial,Tlaxcala,24,2,306.24
CLIENTE_0207,Residencial,Yucatán,45,2,371.53
CLIENTE_0208,Comercial,Aguascalientes,24,1,287.09
CLIENTE_0209,Residencial,Quintana Roo,17,1,211.43
CLIENTE_0210,Residencial,Tlaxcala,45,2,364.31
CLIENTE_0211,Residencial,Zacatecas,77,1,331.02
CLIENTE_0212,Comercial,Puebla,24,1,365.22
CLIENTE_0213,Comercial,Morelos,17,2,226.52
CLIENTE_0214,Residencial,Guanajuato,45,2,205.5
CLIENTE_0215,Comercial,Morelos,77,3,381.82
CLIENTE_0216,Residencial,Aguascalientes,45,4,425.45
CLIENTE_0217,Residencial,Colima,45,2,357.5
CLIENTE_0218,Comercial,Guanajuato,24,2,360.13
CLIENTE_0219,Residencial,Hidalgo,45,2,337.78
CLIENTE_0220,Comercial,Coahuila,17,3,225.11
CLIENTE_0221,Comercial,Puebla,45,1,329.73
CLIENTE_0222,Residencial,Jalisco,45,4,579.84
CLIENTE_0223,Residencial,Ciudad de México,77,2,282.53
CLIENTE_0224,Residencial,Hidalgo,24,2,280.17
CLIENTE_0225,Residencial,Tlaxcala,17,3,285.91
CLIENTE_0226,Residencial,Coahuila,45,3,215.54
CLIENTE_0227,Comercial,Colima,45,3,373.58
CLIENTE_0228,Residencial,Campeche,45,1,369.09
CLIENTE_0229,Comercial,Ciudad de México,24,3,394.21
CLIENTE_0230,Residencial,Jalisco,24,1,313.69
CLIENTE_0231,Comercial,Jalisco,45,4,551.11
CLIENTE_0232,Residencial,Colima,24,2,239.06
CLIENTE_0233,Residencial,Michoacán,52,2,329.76
CLIENTE_0234,Residencial,Jalisco,45,2,326.27
CLIENTE_0235,Residencial,Guanajuato,45,4,582.39
CLIENTE_0236,Comercial,Chihuahua,45,3,361.61
CLIENTE_0237,Residencial,Guanajuato,45,2,382.62
CLIENTE_0238,Residencial,Aguascalientes,24,3,369.02
CLIENTE_0239,Residencial,Coahuila,52,1,369.02
CLIENTE_0240,Residencial,Puebla,24,2,211.93
CLIENTE_0241,Comercial,Zacatecas,45,1,364.57
CLIENTE_0242,Comercial,Guanajuato,24,3,318.02
CLIENTE_0243,Comercial,Michoacán,45,4,473.9
CLIENTE_0244,Residencial,Zacatecas,24,3,210.52
CLIENTE_0245,Residencial,Guanajuato,24,2,331.74
CLIENTE_0246,Comercial,Jalisco,77,2,263.53
CLIENTE_0247,Residencial,Colima,24,3,290.78
CLIENTE_0248,Comercial,Chiapas,45,2,332.54
CLIENTE_0249,Comercial,Jalisco,77,2,377.42
CLIENTE_0250,Comercial,Jalisco,17,1,360.58
CLIENTE_0251,Residencial,Morelos,45,4,488.53
CLIENTE_0252,Residencial,Oaxaca,24,3,275.16
CLIENTE_0253,Comercial,Jalisco,17,1,246.28
CLIENTE_0254,Residencial,Chihuahua,45,2,272.16
CLIENTE_0255,Residencial,Quintana Roo,77,1,221.16
CLIENTE_0256,Residencial,Colima,17,3,389.01
CLIENTE_0257,Comercial,Coahuila,45,4,514.22
CLIENTE_0258,Comercial,Colima,45,4,421.31
CLIENTE_0259,Residencial,Guanajuato,52,1,268.36
CLIENTE_0260,Residencial,Campeche,17,1,306.24
CLIENTE_0261,Residencial,Ciudad de México,45,4,505.67
CLIENTE_0262,Comercial,Quintana Roo,45,2,206.42
CLIENTE_0263,Residencial,Colima,45,3,385.05
CLIENTE_0264,Residencial,Nuevo León,77,2,253.23
CLIENTE_0265,Comercial,Zacatecas,52,2,202.65
CLIENTE_0266,Comercial,Michoacán,17,3,214.43
CLIENTE_0267,Comercial,Hidalgo,45,1,312.7
CLIENTE_0268,Comercial,Michoacán,24,2,226.4
CLIENTE_0269,Residencial,Campeche,24,1,207.63
CLIENTE_0270,Residencial,Morelos,45,3,273.56
CLIENTE_0271,Comercial,Hidalgo,24,2,321.02
CLIENTE_0272,Comercial,Chihuahua,45,1,221.31
CLIENTE_0273,Comercial,Puebla,77,1,260.64
CLIENTE_0274,Comercial,Michoacán,17,2,281.01
CLIENTE_0275,Residencial,Guanajuato,77,3,230.62
CLIENTE_0276,Residencial,Ciudad de México,45,4,500.08
CLIENTE_0277,Comercial,Morelos,45,1,216.14
CLIENTE_0278,Residencial,Morelos,52,3,208.58
CLIENTE_0279,Comercial,Oaxaca,24,2,300.92
CLIENTE_0280,Comercial,Tlaxcala,45,1,247.87
CLIENTE_0281,Comercial,Oaxaca,45,1,218.12
CLIENTE_0282,Residencial,Jalisco,24,1,282.23
CLIENTE_0283,Residencial,Morelos,77,3,378.06
CLIENTE_0284,Residencial,Campeche,52,1,340.82
CLIENTE_0285,Residencial,Aguascalientes,17,1,358.64
CLIENTE_0286,Residencial,Aguascalientes,17,2,369.63
CLIENTE_0287,Residencial,Guerrero,45,1,389.27
CLIENTE_0288,Residencial,Nuevo León,17,3,348.42
CLIENTE_0289,Residencial,Tamaulipas,45,2,318.21
CLIENTE_0290,Residencial,Jalisco,17,2,270.79
CLIENTE_0291,Residencial,Puebla,45,1,234.95
CLIENTE_0292,Residencial,Ciudad de México,17,2,333.49
CLIENTE_0293,Comercial,Tamaulipas,24,1,393.64
CLIENTE_0294,Residencial,Nuevo León,45,2,290.7
CLIENTE_0295,Residencial,Guanajuato,45,3,340.71
CLIENTE_0296,Residencial,Coahuila,77,1,296.1
CLIENTE_0297,Comercial,Jalisco,52,3,283.78
CLIENTE_0298,Residencial,Aguascalientes,24,1,279.57
CLIENTE_0299,Residencial,Guanajuato,17,3,297.96
CLIENTE_0300,Residencial,Tamaulipas,52,4,471.09
CLIENTE_0301,Residencial,Aguascalientes,77,3,345.61
CLIENTE_0302,Residencial,Nuevo León,52,2,370.08
CLIENTE_0303,Residencial,Aguascalientes,17,1,371.79
CLIENTE_0304,Residencial,Yucatán,77,2,243.92
CLIENTE_0305,Comercial,Colima,24,3,374.3
CLIENTE_0306,Comercial,Aguascalientes,45,1,266.15
CLIENTE_0307,Residencial,Aguascalientes,77,3,259.84
CLIENTE_0308,Residencial,Morelos,24,3,341.32
CLIENTE_0309,Comercial,Tabasco,77,3,258.97
CLIENTE_0310,Residencial,Tabasco,24,3,209.84
CLIENTE_0311,Residencial,Puebla,77,2,272.42
CLIENTE_0312,Residencial,Michoacán,24,3,340.29
CLIENTE_0313,Residencial,Guerrero,77,2,263.3
CLIENTE_0314,Comercial,Veracruz,17,3,322.35
CLIENTE_0315,Comercial,Colima,45,4,532.15
CLIENTE_0316,Comercial,Guanajuato,45,1,342.68
CLIENTE_0317,Residencial,Tlaxcala,45,3,374.57
CLIENTE_0318,Residencial,Zacatecas,24,3,283.9
CLIENTE_0319,Residencial,Sonora,45,4,429.32
CLIENTE_0320,Residencial,Jalisco,24,1,261.74
CLIENTE_0321,Residencial,Ciudad de México,45,1,283.82
CLIENTE_0322,Comercial,Hidalgo,24,3,338.81
CLIENTE_0323,Comercial,Aguascalientes,77,3,202.05
CLIENTE_0324,Residencial,San Luis Potosí,17,2,261.14
CLIENTE_0325,Comercial,Nuevo León,24,1,351.65
CLIENTE_0326,Comercial,Jalisco,24,1,330.41
CLIENTE_0327,Residencial,Tamaulipas,45,2,342.27
CLIENTE_0328,Residencial,Puebla,24,3,357.92
CLIENTE_0329,Residencial,Aguascalientes,45,3,352.34
CLIENTE_0330,Residencial,Michoacán,52,1,332.61
CLIENTE_0331,Residencial,Puebla,45,2,285.3
CLIENTE_0332,Comercial,Tlaxcala,45,3,391.44
CLIENTE_0333,Residencial,Nuevo León,17,1,310.54
CLIENTE_0334,Residencial,Puebla,45,3,239.06
CLIENTE_0335,Residencial,Veracruz,24,3,256.65
CLIENTE_0336,Residencial,Veracruz,45,3,334.82
CLIENTE_0337,Comercial,Puebla,24,1,379.96
CLIENTE_0338,Comercial,Colima,45,2,234.38
CLIENTE_0339,Residencial,San Luis Potosí,24,2,215.57
CLIENTE_0340,Residencial,Sonora,52,3,371.53
CLIENTE_0341,Residencial,Chiapas,17,2,378.1
CLIENTE_0342,Residencial,San Luis Potosí,45,3,253.42
CLIENTE_0343,Residencial,Nuevo León,17,1,273.11
CLIENTE_0344,Residencial,Morelos,45,1,328.32
CLIENTE_0345,Residencial,Veracruz,77,1,263.87
CLIENTE_0346,Residencial,Jalisco,45,3,370.65
CLIENTE_0347,Residencial,Chihuahua,45,2,220.48
CLIENTE_0348,Residencial,Tlaxcala,77,4,402.57
CLIENTE_0349,Residencial,Jalisco,45,4,438.1
CLIENTE_0350,Residencial,Jalisco,45,1,255.32
CLIENTE_0351,Residencial,Aguascalientes,45,4,418.19
CLIENTE_0352,Comercial,Guerrero,45,3,212.31
CLIENTE_0353,Comercial,Tlaxcala,17,2,346.94
CLIENTE_0354,Residencial,Michoacán,52,4,428.87
CLIENTE_0355,Residencial,Aguascalientes,45,4,585.01
CLIENTE_0356,Residencial,Guanajuato,17,2,271.32
CLIENTE_0357,Residencial,Tlaxcala,45,4,534.36
CLIENTE_0358,Residencial,Guerrero,24,2,243.47
CLIENTE_0359,Comercial,Tabasco,17,3,246.39
CLIENTE_0360,Residencial,Aguascalientes,45,3,311.64
CLIENTE_0361,Residencial,Colima,52,3,308.9
CLIENTE_0362,Residencial,Tlaxcala,52,1,349.49
CLIENTE_0363,Residencial,Jalisco,77,3,347.36
CLIENTE_0364,Residencial,Jalisco,52,4,534.36
CLIENTE_0365,Comercial,Colima,17,1,287.13
CLIENTE_0366,Residencial,Veracruz,24,1,373.27
CLIENTE_0367,Comercial,Jalisco,52,1,320.99
CLIENTE_0368,Comercial,Ciudad de México,24,3,392.73
CLIENTE_0369,Residencial,Michoacán,45,1,359.37
CLIENTE_0370,Residencial,Puebla,45,3,208.16
CLIENTE_0371,Residencial,Tlaxcala,24,3,262.05
CLIENTE_0372,Residencial,Puebla,77,1,311.11
CLIENTE_0373,Residencial,Colima,45,1,340.29
CLIENTE_0374,Comercial,Aguascalientes,45,4,509.28
CLIENTE_0375,Residencial,Colima,77,1,352.91
CLIENTE_0376,Residencial,Aguascalientes,45,3,254.64
CLIENTE_0377,Comercial,Jalisco,24,3,235.37
CLIENTE_0378,Residencial,Ciudad de México,45,1,210.03
CLIENTE_0379,Comercial,Yucatán,52,1,311.37
CLIENTE_0380,Residencial,Puebla,45,2,333.87
CLIENTE_0381,Residencial,Morelos,45,1,263.15
CLIENTE_0382,Comercial,Jalisco,45,2,319.24
CLIENTE_0383,Residencial,Tlaxcala,24,2,209.68
CLIENTE_0384,Comercial,Tamaulipas,52,3,218.88
CLIENTE_0385,Comercial,Aguascalientes,52,3,336.45
CLIENTE_0386,Comercial,Guanajuato,24,2,271.32
CLIENTE_0387,Residencial,Colima,17,2,330.49
CLIENTE_0388,Residencial,Guerrero,77,4,567.91
CLIENTE_0389,Comercial,Jalisco,52,1,365.86
CLIENTE_0390,Comercial,Tabasco,52,4,430.54
CLIENTE_0391,Comercial,Sonora,52,2,294.39
CLIENTE_0392,Residencial,Jalisco,45,1,342.72
CLIENTE_0393,Residencial,Tabasco,45,3,350.51
CLIENTE_0394,Comercial,Guanajuato,45,1,352.6
CLIENTE_0395,Residencial,Guanajuato,17,3,244.04
CLIENTE_0396,Comercial,Ciudad de México,45,2,237.08
CLIENTE_0397,Comercial,Sonora,45,4,517.56
CLIENTE_0398,Residencial,Aguascalientes,45,4,549.02
CLIENTE_0399,Comercial,Hidalgo,45,4,461.13
CLIENTE_0400,Comercial,Chiapas,45,4,416.48
CLIENTE_0401,Residencial,Puebla,24,2,339.34
CLIENTE_0402,Comercial,Guerrero,24,2,257.98
CLIENTE_0403,Residencial,Guerrero,24,1,231.95
CLIENTE_0404,Comercial,Puebla,24,3,228.34
CLIENTE_0405,Residencial,Hidalgo,77,3,260.95
CLIENTE_0406,Comercial,Yucatán,24,3,315.13
CLIENTE_0407,Residencial,Guerrero,24,3,269.42
CLIENTE_0408,Residencial,Michoacán,45,4,398.96
CLIENTE_0409,Comercial,Hidalgo,45,3,218.42
CLIENTE_0410,Residencial,Guanajuato,24,1,256.2
CLIENTE_0411,Residencial,Michoacán,45,4,532.08
CLIENTE_0412,Comercial,Puebla,45,3,218.73
CLIENTE_0413,Comercial,Jalisco,24,2,308.9
CLIENTE_0414,Residencial,Coahuila,24,3,222.91
CLIENTE_0415,Residencial,Nuevo León,77,2,240.81
CLIENTE_0416,Residencial,Hidalgo,52,1,233.09
CLIENTE_0417,Residencial,Puebla,45,1,212.61
CLIENTE_0418,Residencial,Puebla,17,2,330.49
CLIENTE_0419,Comercial,Colima,45,3,289.94
CLIENTE_0420,Comercial,Tlaxcala,45,4,567.76
CLIENTE_0421,Comercial,Tlaxcala,24,1,218.8
CLIENTE_0422,Comercial,Puebla,45,1,227.73
CLIENTE_0423,Residencial,Guerrero,45,1,259.31
CLIENTE_0424,Residencial,Jalisco,24,3,348.95
CLIENTE_0425,Residencial,Guanajuato,45,2,259.16
CLIENTE_0426,Residencial,Colima,52,2,279.19
CLIENTE_0427,Residencial,Veracruz,24,3,258.36
CLIENTE_0428,Comercial,Tlaxcala,52,1,215.16
CLIENTE_0429,Residencial,Jalisco,17,3,382.81
CLIENTE_0430,Residencial,Michoacán,52,3,306.55
CLIENTE_0431,Residencial,Michoacán,24,2,353.25
CLIENTE_0432,Comercial,Tamaulipas,17,3,327.98
CLIENTE_0433,Residencial,Colima,45,3,299.86
CLIENTE_0434,Residencial,Tamaulipas,45,1,216.98
CLIENTE_0435,Residencial,Michoacán,77,4,528.54
CLIENTE_0436,Comercial,Jalisco,24,1,229.82
CLIENTE_0437,Residencial,Ciudad de México,24,2,280.36
CLIENTE_0438,Comercial,Tabasco,45,4,525.69
CLIENTE_0439,Comercial,Chihuahua,45,1,352.15
CLIENTE_0440,Residencial,Chiapas,24,3,333.18
CLIENTE_0441,Residencial,Michoacán,45,3,330.52
CLIENTE_0442,Comercial,Ciudad de México,45,4,425.71
CLIENTE_0443,Residencial,Nuevo León,52,4,466.75
CLIENTE_0444,Residencial,San Luis Potosí,77,3,207.86
CLIENTE_0445,Comercial,Coahuila,24,2,339.91
CLIENTE_0446,Comercial,Tlaxcala,45,1,385.4
CLIENTE_0447,Comercial,Tlaxcala,24,3,251.03
CLIENTE_0448,Comercial,Colima,45,1,216.6
CLIENTE_0449,Residencial,Aguascalientes,45,1,292.3
CLIENTE_0450,Residencial,Tamaulipas,77,1,366.66
CLIENTE_0451,Comercial,Ciudad de México,45,1,307.19
CLIENTE_0452,Residencial,Hidalgo,77,2,208.62
CLIENTE_0453,Residencial,Morelos,52,2,389.61
CLIENTE_0454,Comercial,Guanajuato,77,2,361.19
CLIENTE_0455,Residencial,Michoacán,52,3,225.19
CLIENTE_0456,Residencial,Ciudad de México,45,3,379.35
CLIENTE_0457,Residencial,Hidalgo,24,3,287.43
CLIENTE_0458,Residencial,Ciudad de México,24,2,272.08
CLIENTE_0459,Residencial,San Luis Potosí,17,1,289.48
CLIENTE_0460,Residencial,San Luis Potosí,45,2,362.37
CLIENTE_0461,Residencial,Quintana Roo,45,3,328.17
CLIENTE_0462,Residencial,Tlaxcala,45,4,407.02
CLIENTE_0463,Comercial,Coahuila,77,3,386.35
CLIENTE_0464,Residencial,Ciudad de México,77,1,228.34
CLIENTE_0465,Comercial,Tlaxcala,24,2,344.96
CLIENTE_0466,Residencial,Aguascalientes,24,1,323.65
CLIENTE_0467,Residencial,Michoacán,45,2,236.09
CLIENTE_0468,Comercial,Yucatán,24,3,232.83
CLIENTE_0469,Residencial,Tabasco,45,1,369.32
CLIENTE_0470,Comercial,Morelos,45,4,482.07
CLIENTE_0471,Residencial,Michoacán,45,1,327.22
